post_id,caption,hashtag,comments_count,like_count,media_type,timestamp,username,owner_id
1.7846E+16,#ㅊㅓㄴㅁㅏㅅㅏㄴ ㄱㅏㄴㅡㄴㄱㅣㄹ ㅈㅔㄱㅏ ㅇㅛㅈㅡㅁ ㅊㅔㄹㅕㄱㅇㅣ ㅁㅏㄶㅇㅣ ㄸㅓㄹㅇㅓㅈㅕㅅㅓㄱㅡㄹㅓㄴㅈㅣ ㄴㅓㅁㅜ ㅎㅣㅁㄷㅡㄹㅇㅓㅆㅇㅓㅇㅛ. ??ㄱㅡㄹㅐㄷㅗ ㅈㅓㅇㅅㅏㅇㄱㅏㄴㅣ ㅈㅗㅎㄷㅐㅇㅛ ??ㅎ#제품협찬 #ㄱㅏㅅㅡㅌㅗㄴㄹㅜㄱㅏ ㅂㅐㄱㅍㅐㄱ ㄱㅏㅂㅕㅇㅝㅅㅓ ㄷㅡㅇㅅㅏㄴㄱㅏㄹㄸㅐㄷㅗ ㅈㅗㅎㅇㅏㅇㅛ. 15% ㅎㅏㄹㅇㅣㄴㅋㅗㄷㅡㄴㅡㄴ ypKR ????2021ㄴㅕㄴ 1ㅇㅝㄹ5ㅇㅣㄹㄲㅏㅈㅣ ㅇㅠㅎㅛㅎㅏㅂㄴㅣㄷㅏ:) 10ㅇㅝㄹ18ㅇㅣㄹㄲㅏㅈㅣ ㅂㅐㄱㅍㅐㄱㄱㅜㅁㅐㅅㅣ ㅂㅗㅇㅣㅅㅡㅋㅏㄷㅡㅈㅣㄱㅏㅂ ㅂㅡㄹㄹㅐㄱ&ㄱㅗㄹㄷㅡ + ㅍㅡㄹㄹㅗㄴㅋㅏㄴ-ㅁㅣㄷㅡㄴㅏㅇㅣㅅㅂㅡㄹㄹㅜ ㅁㅜㄹㅛㅈㅡㅇㅈㅓㅇㅇㅣㅂㅔㄴㅌㅡ ㅈㅜㅇㅇㅣㄱㅜㅇㅛㄱㅏㅅㅡㅌㅗㄴㄹㅜㄱㅏ ㄱㅗㅇㅅㅣㄱㅎㅗㅁㅍㅔㅇㅣㅈㅣㅇㅔㅅㅓㄴㅡㄴ 2020ㄱㅏㅇㅡㄹㅋㅐㅁㅍㅔㅇㅣㄴ ㅈㅜㅇ. ㄷㅗㄱㅅㅓㅇㅢ ㄷㅏㄹㅇㅣㄹㅐㅇㅛ..:#gastonluga#anywherewithgl#mountains#ㄷㅡㅇㅅㅏㄴ#ㄷㅡㅇㅅㅏㄴㅅㅡㅌㅏㄱㅡㄹㅐㅁ#ㅅㅏㄴㅅㅡㅌㅏㄱㅡㄹㅐㅁ,#ㅊㅓㄴㅁㅏㅅㅏㄴ #제품협찬 #ㄱㅏㅅㅡㅌㅗㄴㄹㅜㄱㅏ #gastonluga#anywherewithgl#mountains#ㄷㅡㅇㅅㅏㄴ#ㄷㅡㅇㅅㅏㄴㅅㅡㅌㅏㄱㅡㄹㅐㅁ#ㅅㅏㄴㅅㅡㅌㅏㄱㅡㄹㅐㅁ ,20,960,FEED,2020-10-15T01:09:28+0000,10.12.16yp,1.78414E+16
1.78462E+16,펌핑스쿼트 해본사람만 알꺼야 ㅎ??ㅎ??ㅎ?? .요즘 난방안해줘서 실내가 더 추운데 #파슬리웨어 글로우니트탑 넘 맘에듭니다??parsley_kr .#운동하는여자#squat#운동#에슬레저룩#요가복,#파슬리웨어 #운동하는여자#squat#운동#에슬레저룩#요가복 ,0,879,FEED,2020-03-10T23:48:19+0000,10.12.16yp,1.78414E+16
1.78464E+16,나두 거짓말처럼 좋은일이 한꺼번에 생겼으면 좋겠다. ??정말 편한 #스컬피그#플렉스레깅스skullpig_official ..#아메리카요가앰버서더 #AYOgini 프로필촬영날??#도너츠스튜디오 에서Photo by lilac_51 작가님 만나서 반가워요????..#스컬피그엠버서더#에슬레저룩#요가복#skullpig#레깅스#필라테스복#운동#yoga#발레핏#운동하는여자#fitgirl#workout#yogapose,#스컬피그#플렉스레깅스skullpig_official #아메리카요가앰버서더 #AYOgini #도너츠스튜디오 #스컬피그엠버서더#에슬레저룩#요가복#skullpig#레깅스#필라테스복#운동#yoga#발레핏#운동하는여자#fitgirl#workout#yogapose ,0,1796,FEED,2019-12-10T02:24:33+0000,10.12.16yp,1.78414E+16
1.78465E+16,#스컬피그 는 사실 처음 받은 요가복선물이었는데. ??#레깅스 핏이 진짜 너무 예뻤어서 지금도 최애:) 백라인이 최고아님? ??브라탑은 #skullpig 쥬디브라탑레깅스는 코튼기모레깅스이제 기모만이 살길 춥춥 ??skullpig_official ..#요가복#에슬레저룩#운동복#운동#요가#운동하는여자#스컬피그엠버서더,#스컬피그 #레깅스 #skullpig #요가복#에슬레저룩#운동복#운동#요가#운동하는여자#스컬피그엠버서더 ,70,1208,FEED,2019-11-19T23:49:33+0000,10.12.16yp,1.78414E+16
1.78468E+16,#양재천 잠깐. ??#벚꽃 너무 예뻐여 너무너무마스크 잠깐만 벗어놓고 사진??파슬리웨어 parsley_kr 팬츠 이 편안함 무엇??..#요가복#에슬레저룩#봄#직장인,#양재천 #벚꽃 #요가복#에슬레저룩#봄#직장인 ,46,815,FEED,2020-04-03T06:03:45+0000,10.12.16yp,1.78414E+16
1.78469E+16,이거 너무 좋은데여. 젤 자신없는 상체운동 할수있겠다능홈트세트 중에서 젤 궁금했던게 도어앵커랑 핸들이어서 받자마자 해봤어요:D 원래 심으뜸님 운동영상 젤 많이 보는데 심으뜸님이 유튜브로 홈트세트 운동법도 다 올려주셨더라구요. 매일 하나씩 도전해봐야겠어요.심으뜸님 영상은 저처럼 시간이 별로없는 #헬린이 에게 최고에요 8분엉폭운동 10분 복근운동 너무 맘에 듭니당?? #홈트밴드 #마이웨잇 #애플힙밴드 #홈트 my_weight_official #홈트영상 #운동하는여자 탑은  #파슬리웨어 parsley_kr,#헬린이 #홈트밴드 #마이웨잇 #애플힙밴드 #홈트 #홈트영상 #운동하는여자 #파슬리웨어 ,28,647,FEED,2020-03-31T03:41:41+0000,10.12.16yp,1.78414E+16
1.7847E+16,ㅈㅣㄴㅉㅏ ㄷㅏㄹㄹㅣㄴㅣㄲㅏ ㅅㅣㅇㅝㄴㅎㅐㅆㄷㅏ. ㅂㅣㄷㅗㅇㅗㄱㅗ.ㄴㅓㅁㅇㅗㄹㅐㄴㅁㅏㄴㅇㅣㄹㅏ??..melkinsports #ㅇㅜㄴㄷㅗㅇ#ㄹㅓㄴㅣㅇ#ㄹㅓㄴㅅㅡㅌㅏㄱㅡㄹㅐㅁ#ㅎㅗㅁㅌㅡㄹㅔㅇㅣㄴㅣㅇ#ㅁㅔㄹㅋㅣㄴㅇㅝㅋㅣㅇㅁㅓㅅㅣㄴ#ㅁㅔㄹㅋㅣㄴㅓ#run#workout#diet#ㄹㅓㄴㅣㅇㅁㅓㅅㅣㄴ#운동하는여자,#ㅇㅜㄴㄷㅗㅇ#ㄹㅓㄴㅣㅇ#ㄹㅓㄴㅅㅡㅌㅏㄱㅡㄹㅐㅁ#ㅎㅗㅁㅌㅡㄹㅔㅇㅣㄴㅣㅇ#ㅁㅔㄹㅋㅣㄴㅇㅝㅋㅣㅇㅁㅓㅅㅣㄴ#ㅁㅔㄹㅋㅣㄴㅓ#run#workout#diet#ㄹㅓㄴㅣㅇㅁㅓㅅㅣㄴ#운동하는여자 ,15,675,FEED,2020-08-22T13:21:36+0000,10.12.16yp,1.78414E+16
1.78475E+16,재밌으면 되는거 아닙니..ㅋㅋㅋminist1 고마옹 미니씨????..#넉아웃#요가#복싱#괌#괌마라톤#싱글렛#예쁨#marathon#diet#boxing#dance#hump#운동녀#운동하는여자#서울숲#넉아웃웰니스#운동영상,#넉아웃#요가#복싱#괌#괌마라톤#싱글렛#예쁨#marathon#diet#boxing#dance#hump#운동녀#운동하는여자#서울숲#넉아웃웰니스#운동영상 ,25,239,FEED,2019-05-04T08:26:50+0000,10.12.16yp,1.78414E+16
1.78476E+16,시간순삭 #아디다스주짓수 이렇게 깃잡기로 악력을 기르는가봐요. 발을 안쪽에서 바깥 바깥쪽에서 안쪽 으로 바꾸면서. ??스파이더자세? dahimkim 맞죠???ㅋ#아디다스도복 입고 하니까 좀 폼나는거 같.. 자연스럽진 않았지만;;;..with_yom 욤온니랑 형부 스파링하는거 보니 계속 배워보고 싶어졌어여?? acs_korea???? #아디다스주짓수 #아디다스컴뱃스포츠 #아디다스아카데미오브마샬아츠#운동하는여자#운동,#아디다스주짓수 #아디다스도복 #아디다스주짓수 #아디다스컴뱃스포츠 #아디다스아카데미오브마샬아츠#운동하는여자#운동 ,43,665,FEED,2019-08-23T01:16:30+0000,10.12.16yp,1.78414E+16
1.78476E+16,반포 #뮤턴트 #러닝 후 #리얼시리즈 냠..#ayogini#아메리카요가#요가#에너스킨#건강한아름다움만들기#정식품#러너#런스타그램#러닝크루#달리기,#뮤턴트 #러닝 #리얼시리즈 #ayogini#아메리카요가#요가#에너스킨#건강한아름다움만들기#정식품#러너#런스타그램#러닝크루#달리기 ,54,1211,FEED,2019-10-25T00:09:41+0000,10.12.16yp,1.78414E+16
