POS String,분류된 품사
_무사 도착????무보정인데 날씨 어쩔꺼야??????.          ,무사|도착|무|보정|날씨
_이스탄불 라운지 내 서타일??.저 급 이태리 가는 중이에요ㅋㅋㅋㅋ아니 이태리 가는데 삼일전에 결정해서 가기 있냐고??진짜 무계획으로 가는 중ㅋㅋㅋ근데 신나????????베니스-피렌체-로마 순으로 가는데추천해 주실 곳 있으면 댓글 부탁드려요오????.근데 마침 오늘이 딱 결혼 한달째????여보 우리 24일 마다 여행 가는거야????????               ,이스탄불|라운지|서|타일|급|이태리|이태리|삼일|전|결정|진짜|계획|베니스|피렌체|로마|순|추천|곳|댓글|부탁|오늘|결혼|달|마다|여행
_28년 살면서 이제 왠만한 맛은 다 느껴봤다구생각했는데 또 새로운 맛이 있다니???????????진짜 세상에서 제일 맛있는 파스타였음??한국가서 이걸루 장사하면 재벌 될텐디??.                ,28년|맛|생각|맛|진짜|세상|제일|파스타|한국|장사|재벌|텐|디
_우리 옷 색깔 파스텔 파스텔 하던 날??    ,우리|옷|색깔|파스텔|파스텔|날
_파주아울렛 오면 들리는 쟈니로켓??미국맛난등??.      ,
_잘못한거 없는데 분명??지금 굉장히 쫄아 있음 무서워????.    ,잘못|지금
_봄날 데이트??.     ,봄날|데이트
_으앙 테라스 맥주의 계절이 왔쯈??동네에 맘에 드는곳이 생겼당??.      ,으|테라스|맥주|계절|맘|곳|당
??어제자 양지미식당밤에 가니 더더더 좋았던??.                  ,어제|양지|미|식당|밤|가니|더|더더
집스타그램 마구마구 하고 싶지만 현실은 평일에는 미팅수니...일개미 뚠뚠??공장은 자주 갈 수록 신상이 빨리 나오기 때문에 성격 급한 저는 신상 나오기 전까지 주구장창 공장행이구요????오늘도 3개나 잡혀있는 미팅을 위해 커피 한사발 들이키고 굿모닝이에요??,집|스타|그램|마구마구|현실|평일|미팅|일|개미|공장|수록|신상|성격|신상|전|주구|장창|공장|오늘|미팅|커피|사발|굿모닝
_2차는 부자피자??????홍대에 부자피자 생겼쯈??4일 밖에 안돼서 쌔거 냄새나융 좋아 킁킁??.    ,부자|피자|홍대|부자|피자|밖|안|냄새|융
_폭풍 인스타??.    ,폭풍|인|스타
??       ,
_너무 예쁜 부라노 섬에서(이름모를)겁나 맛있는거랑?? 찰칵.             ,부라노|섬|이름|겁|랑
미용실이 이렇게 예뻐도 되냐며??/     ,미용실|예뻐
아침 먹자마자 시작된 대대적인 대청소??깨끗해진 덕분에 주방샷 건짐??가끔 저희 집 사진 보시고 어떻게 항상 깨끗하냐고 하시는데 항상 깨끗한게 아니라 깨끗할 때만 찍는거에유ㅋㅋㅋ????,아침|시작|대대적|청소|덕분|주방|샷|집|사진|때
_아 피렌체 너무 좋다오자마자 너무 좋다 정말????????따뜻해서 더 좋다????????????          ,아|피렌체
_????피맥중천국인가로마가기싫다??          ,피|맥|중천|국인|가로|마가
_안녕 피렌체????또 올꺼야 정말??????.          ,안녕|피렌체
_옴마 스테끼 엄청 맛있어 여기ㅠㅠ미쳤어 진짜????????.     ,옴|마|진짜
저 어제 요즘 젊은이들 사이에서 핫하다는ㅋㅋ역전 할머니 맥주 먹고 왔잖아요????살얼음 동동 떠있는 맥주에 안주도 야무지게 맛있어서 동네에 하나 있었음 좋겠다 싶은데 동네에는 없어서 아쉬워하다 정신차리고 보니 창업비용까지 검색해보고 있네요?ㅋㅋㅋㅋㅋ???정신 차리고 1401HOME 신상 소개해드릴게요???플레인 모듈 소파 오픈카우치 버전에 이어서 일반카우치 버전도 준비했어요?자리를 많이 차지하지 않는 세미 카우치 형태라 기존 플레인 모듈 소파의 몽글몽글한 느낌 그대로 카우치형으로 구현했답니다???? 플레인 모듈 소파- 3인용 4인용 코너형- 오픈 카우치 일반 카우치- 컬러: 베이지 웜그레이- 베이지 원단: 발수코팅 원단으로 기본적으로 오염이 덜되는 기능성 원단- 웜그레이 원단:물만으로 오염제거 가능한 이지클린 원단- 모듈로 제작된 제품으로 원하는 구성으로 배치 및 구매 가능??? 사이트에 다양한 소파테이블침대가 준비되어 있어요???? 공구는 오늘 밤 9시 마감입니다??,요즘|젊은이들|사이에서|할머니|맥주|살얼음|동동|맥주|안주|동네|동네|정신|보니|창업|비용|검색|신상|소개|플레인|모듈|소파|오픈|카우치|버전|일반|카우치|버전|준비|자리|차지|세미|카우치|형태|기존|플레인|모듈|소파|몽|글|몽|글|느낌|카우치|형|구현|플레인|모듈|소파|인용|인용|코너|오픈|카우치|일반|카우치|컬러|베이지|베이지|원단|발|수|코팅|원단|기본|오염|기능|원단|원단|물|오염|제거|이지|클린|원단|모듈|제작|제품|구성|배치|구매|사이트|소파|테이블|침대|준비|공구|오늘|밤|마감
_이태리 마지막 식사??너무 좋았던 이태리 안늉 또 올겡???? .         ,이태리|마지막|식사|이태리
?? 오랜만에 소개해드리는 1401HOME 발매트이번에 색감 예쁘게 뽑는다고 고민 정말 많았는데예쁘게 잘 나온 것 같아서 기분 너무 좋은거 있됴??발매트 하나만 바꿔줘도 볼 때 마다 기분 좋아져서 소소한 이 행복 꼭 느껴보셨으면 좋겠어요???? 1401HOME의 발매트는 디자인만 예쁜 상품이 아닌 퀄리티도 뛰어난 제품으로 고급 쟈가드 원단의 매트로 제작되어 흡수력이 빠르며 발끝에 닿는 폭신함과 보드라움이 기분 좋은 제품이에요.세탁 건조 또한 특별한 관리 없이 세탁기 사용 및 건조기 사용이 가능한 제품이라 부담없이 편하게 사용하실 수 있답니다??건조기 사용의 경우 약간의 수축이 있기는 하나 눈에 띄는 정도는 아니며 건조기 사용시 처음과 같은 뽀송하고 부드러운 느낌으로 사용하실 수 있어서 개인적으로는 추천해드려요!겉보기에는 일반적인 저가 쟈가드 발매트와 비슷해보일 수 있지만 직조자체가 더 탄탄하여 일부러 잡아 빼려고 해도 거의 빠지지 않을 정도로 제작되어 사용시 털 묻어남 없이 사용하실 수 있는 제품이라 믿고 구매해주셔도 좋답니다??꼭 화장실 앞 아니어도 현관 베란다 침실 등 다양한 곳에 활용하실 수 있고이번 발매트 디자인은 특히 선물용으로도 너무 좋으니 홈페이지에서 찬찬히 구경해주세요?,오랜만|소개|발|매트|이번|색감|고민|기분|때|마다|기분|행복|발|매트|디자인|상품|제품|고급|원단|매트|제작|흡수력|발끝|기분|제품|세탁|건조|관리|세탁기|사용|건조기|사용|제품|부담|사용|건조기|사용|경우|약간|수축|눈|정도|건조기|사용|처음|느낌|사용|개인|추천|겉보기|일반|발|매트|직조|자체|정도|제작|사용|털|사용|제품|구매|화장실|앞|현관|베란다|침실|곳|활용|이번|발|매트|디자인|선물|홈페이지|구경
??네일을 바꾸러 갈까 낮잠을 좀 잘까 고민 중...??/                 ,네일|낮잠|고민
/결혼기념일이라구 회사로 꽃 보낸 우리 오빠??정말 생각도 못했던터라 편지 읽고 글썽...??(흘리지는 않았어 미안 오빠ㅋㅋㅋㅋ)매일매일 사랑받고 있구나라고 느끼게 해주는 내 사랑??그나저나 결혼기념일이라구 지난 주에 아버님 어머님도 오셔서너무 큰 선물 주고 가셨는데.....??ㅋㅋㅋ남편까지 이렇게 서프라이즈 해주니 광대가 내려올 틈이 없네...??서로 선물은 하지말자구 해서 나도 오빠 차에 몰래 편지만 두고왔는데아무래도 플레이스테이션VR을 사줘야겠다...??/                       ,결혼기념일|회사|꽃|오빠|정말|생각|편지|사랑|내 사랑|결혼기념일|난 주|아버님|어머님|선물|서프라이즈|광대|틈|서로|선물|오빠|차|편지|플레이스테이션
??여행다녀와서 피곤에 쩔었지만급 삘 통해서 누리랑 피스피스????/                  ,여행|피곤|누리|피스|피스
_넘나 이쁜것??나두 이쁘게 말리고싶은데????두달전에 친구한테 받은 부케 말려서 선물로 담아줄랬는데망했었음??????.                  ,나|두다|전|친구|부케|선물
3인용소파 4인용소파 쿠션커버 블랙테이블 블로그에 공구 오픈해두었어요??????모든 문의는 블로그로 해주세요??/                  ,인용|소파|인용|소파|쿠션|커버|블랙|테이블|블로그|공구|오픈|문의|블로그
??저녁 먹기전에 군것질 하면 안되는데??/                  ,저녁|먹|기전|군것|안
_여기저기 다 크리스마스구낭??그나저나 완전 취향저격 오이쇼??             ,여기저기|크리스마스|낭|완전|취향저격
